,,,,,,,,
Параметры:,,,Начало периода: 01.01.2016 0:00:00,,,,,
,,,Конец периода: 31.12.2016 23:59:59,,,,,
,,,Склады: Щука,,,,,
,,,,,,,,
Период,,Склад,,Номенклатура,,Код,Количество начальный остаток,Количество расход
03.01.2016,,Щука,,Леденец Круглый мини 15 гр,,99-00000708,22.000,2.000
03.01.2016,,Щука,,Леденец Спираль 90гр (15 шт. в пачке),,99-00000707,9.000,1.000
03.01.2016,,Щука,,Леденец Трость макси 28гр - (65 шт. в пачке),,99-00000651,8.000,1.000
03.01.2016,,Щука,,Массажер мини Трясучка,,СК-00000512,5.000,1.000
03.01.2016,,Щука,,Молоток Шефа,,УТ000000066,9.000,1.000
03.01.2016,,Щука,,Монета Да/Нет,,01-00002130,11.000,1.000
03.01.2016,,Щука,,МСК Конверт для денег Будь на высоте (Воздушные шары),,99-00001326,2.000,1.000
03.01.2016,,Щука,,Мыльные пузыри нелопающиеся (5 шт. в пачке),,РТ-00000009,288.000,1.000
03.01.2016,,Щука,,Набор 2 в 1 Красная книга,,01-00003132,5.000,1.000
03.01.2016,,Щука,,Напиток Coca-Cola Cherry (в пачке 12 шт.),,01-00003155,38.000,2.000
03.01.2016,,Щука,,Напиток Dr Pepper Cherry,,01-00003151,52.000,2.000
03.01.2016,,Щука,,Напиток Доктор Пеппер (в пачке 12 шт.),,СК-00000830,61.000,1.000
03.01.2016,,Щука,,Наушники Смайлик вакуумные в упаковке 12 шт.,,01-00001117,11.000,1.000
03.01.2016,,Щука,,Нечто большее Барбарик шарик ,,01-00002849,1.000,1.000
03.01.2016,,Щука,,Обложка на паспорт Паспорт царя красная пластик,,01-00001634,3.000,1.000
03.01.2016,,Щука,,Пакет Все будет в шоколаде MS,,СК-00001016,31.000,1.000
03.01.2016,,Щука,,Пакет Гениальному человеку ML,,СК-00001101,6.000,1.000
03.01.2016,,Щука,,Пакет Кассета ML гориз,,99-00000657,1.000,1.000
03.01.2016,,Щука,,Пакет Настоящему мужику MS,,01-00000173,5.000,1.000
03.01.2016,,Щука,,Пакет Новогодние пожелания красный S,,99-00000019,7.000,3.000
03.01.2016,,Щука,,Пакет особенный подарок MS ,,01-00000570,9.000,1.000
03.01.2016,,Щука,,Пакет Очень скромный подарок L,,01-00001334,3.000,1.000
03.01.2016,,Щука,,Пакет Очень скромный подарок S,,99-00001535,49.000,1.000
03.01.2016,,Щука,,Пакет Посылка с любовью MS,,06-00000024,7.000,1.000
03.01.2016,,Щука,,Пакет С днем рождения Пожелания S,,99-00001617,8.000,1.000
03.01.2016,,Щука,,Пакет С новым годом! Ёлка (синий) S,,99-00001619,22.000,1.000
03.01.2016,,Щука,,Пакет Сочный арбуз L гориз ,,01-00001193,8.000,1.000
03.01.2016,,Щука,,Плед с рукавами Sleepy Original красный,,99-00000255,2.000,1.000
03.01.2016,,Щука,,Подкова Приношу удачу,,01-00002949,5.000,1.000
03.01.2016,,Щука,,Полисилк Красный,,01-00001478,33.000,2.000
03.01.2016,,Щука,,Прилипало Черный,,01-00002673,2.000,1.000
03.01.2016,,Щука,,Ручка Зонт,,99-00001435,11.000,1.000
03.01.2016,,Щука,,Ручка Оберег от забывчивости,,99-00000577,2.000,1.000
03.01.2016,,Щука,,Светильник плазма (Lighter 5 inch),,УТ000000944,8.000,1.000
03.01.2016,,Щука,,Сиденье на унитаз Нормально делай,,99-00000367,1.000,1.000
03.01.2016,,Щука,,Ситечко для чая Меч,,99-00000461,1.000,1.000
03.01.2016,,Щука,,Сладкие консервы Английский алфавит в коробке 24 шт.,,99-00000722,6.000,1.000
03.01.2016,,Щука,,Сладкие консервы Бананы консервированные в коробке 24 шт.,,99-00000686,4.000,4.000
03.01.2016,,Щука,,Сладкие консервы Вампирские лакомства в коробке 24 шт.,,99-00000738,2.000,1.000
03.01.2016,,Щука,,Сладкие консервы Мороженое в коробке 24 шт.,,99-00000687,10.000,1.000
03.01.2016,,Щука,,Сладкие консервы Опасные сладости в коробке 24 шт.,,99-00000727,10.000,1.000
03.01.2016,,Щука,,Сладкие консервы Сладкие проявления чувств в коробке 24 шт.,,99-00000733,6.000,3.000
03.01.2016,,Щука,,Сладкие консервы Фасоль цветная в коробке 24 шт.,,99-00000718,3.000,1.000
03.01.2016,,Щука,,Сладкие консервы Чтобы жизнь малиной оказалась в коробке 24 шт.,,99-00000731,7.000,1.000
03.01.2016,,Щука,,Стиральная карта мира Black Edition А1 серебро,,99-00000802,8.000,1.000
03.01.2016,,Щука,,Табличка на стол Сегодня я злой / Шеф в хорошем,,УТ-00000293,14.000,1.000
03.01.2016,,Щука,,Туалетная бумага Анекдоты,,УТ000000963,20.000,1.000
03.01.2016,,Щука,,Успокоительное,,01-00002140,4.000,1.000
03.01.2016,,Щука,,"Фляжка Тихо наливай, а то рыбу спугнешь",,01-00000646,4.000,1.000
03.01.2016,,Щука,,Фонарь желаний Жел.конус мал,,00-00000031,9.000,1.000
03.01.2016,,Щука,,Форма для выпечки Отличного настроения,,99-00000661,3.000,1.000
03.01.2016,,Щука,,"Часы будильник Бабочка (черный) d=11,5 см",,99-00001422,1.000,1.000
03.01.2016,,Щука,,Часы будильник со звуками природы,,СК-00000124,2.000,1.000
03.01.2016,,Щука,,Шар со снегом Сказочные персонажи,,01-00003494,12.000,1.000
03.01.2016,,Щука,,Шокобокс Для моей мамочки большой классик box,,99-00000574,8.000,1.000
03.01.2016,,Щука,,Шоколадная открытка Пусть все будет в шоколаде,,99-00000572,7.000,1.000
04.01.2016,,Щука,,"1960 DVD-открытка ""Ты родился"" 1960",,01-00000850,1.000,1.000
04.01.2016,,Щука,,Аппарат для сахарной ваты (розовый),,СК-00000141,2.000,1.000
04.01.2016,,Щука,,Ароматизатор Все будет хорошо,,01-00002523,5.000,2.000
04.01.2016,,Щука,,Ароматизатор Не ссы доедем Котэ ,,01-00002281,27.000,1.000
04.01.2016,,Щука,,Ароматизатор Самая главненькая,,СК-00001000,5.000,1.000
04.01.2016,,Щука,,Ароматизатор Солнечного настроения арома саше ,,01-00000880,3.000,1.000
04.01.2016,,Щука,,"Ароматизатор Умею водить, заводить и разводить",,01-00000345,6.000,1.000
04.01.2016,,Щука,,Ароматизатор Я девушка,,99-00000589,5.000,1.000
04.01.2016,,Щука,,"Ароматизатор Я целуюсь лучше, чем рулю арома саше",,06-00000105,10.000,1.000
04.01.2016,,Щука,,Батарейки пальчиковые АА  LR06 16 в уп. батарейка,,УТ000001013,303.000,2.000
04.01.2016,,Щука,,Брелок антистресс Обезьяна Счастье есть,,99-00001685,4.000,1.000
04.01.2016,,Щука,,Вентилятор светильник 2 в 1,,01-00001566,2.000,1.000
04.01.2016,,Щука,,Волчок Йо-Йо,,УТ000000825,16.000,1.000
04.01.2016,,Щука,,"Жвачка ""Love is..."" блок МИКС в кор 20 блоков",,01-00003496,77.000,1.000
04.01.2016,,Щука,,"Жвачка ""Love is..."" блок один вкус",,УТ-00000024,122.000,2.000
04.01.2016,,Щука,,Зажигалка Электронная,,01-00002977,12.000,2.000
04.01.2016,,Щука,,Зеркало Печенька круглое,,УТ-00000026,3.000,1.000
04.01.2016,,Щука,,ИА Бэткот,,01-00002654,1.000,1.000
04.01.2016,,Щука,,ИА Панда Биг,,99-00001375,2.000,1.000
04.01.2016,,Щука,,Игра Активити,,00-00000003,4.000,1.000
04.01.2016,,Щука,,Игра с карточками Боц - Боц,,99-00000613,11.000,1.000
04.01.2016,,Щука,,Игра с карточками Для двоих,,01-00002938,17.000,1.000
04.01.2016,,Щука,,Игра Скажи иначе,,01-00003466,4.000,1.000
04.01.2016,,Щука,,Карты игральные Фанты,,01-00002879,7.000,1.000
04.01.2016,,Щука,,Карты мафия,,УТ000000862,24.000,1.000
04.01.2016,,Щука,,Книга сейф Английский словарь металл малый ,,99-00001675,3.000,1.000
04.01.2016,,Щука,,Конверт для денег 1 млн $ маленький,,УТ-00000135,23.000,1.000
04.01.2016,,Щука,,Копилка Конфетница,,01-00001139,2.000,1.000
04.01.2016,,Щука,,Копилка Собака робот,,СК-00000425,2.000,1.000
04.01.2016,,Щука,,Кружка Сердце в стиле пиксель-арт,,01-00001977,1.000,1.000
04.01.2016,,Щука,,Ланч бокс Я люблю еду!,,01-00002310,2.000,1.000
04.01.2016,,Щука,,Леденец Трость макси 28гр - (65 шт. в пачке),,99-00000651,7.000,1.000
04.01.2016,,Щука,,Ледяная Кружка (холодильник) С ЖИДКОСТЬЮ,,УТ000000889,3.000,1.000
04.01.2016,,Щука,,Маска Дарт Вейдер,,01-00002845,3.000,1.000
04.01.2016,,Щука,,Молоток Шефа,,УТ000000066,8.000,1.000
04.01.2016,,Щука,,Монопод для селфи (с проводом AUX),,99-00000691,9.000,1.000
04.01.2016,,Щука,,Монопод для селфи с пультом,,99-00000900,2.000,1.000
04.01.2016,,Щука,,Мыльные пузыри нелопающиеся (5 шт. в пачке),,РТ-00000009,287.000,2.000
04.01.2016,,Щука,,Набор для покера 200 фишек в жестяной коробке),,01-00002722,8.000,1.000
04.01.2016,,Щука,,"Накладные усы, набор",,00-00000406,46.000,1.000
04.01.2016,,Щука,,Наклейка на автомобиль Бэтмен ,,06-00000089,3.000,1.000
04.01.2016,,Щука,,Нано-тетрадь (набор 3 шт.),,99-00001597,1.000,1.000
04.01.2016,,Щука,,Напиток Coca-Cola Cherry (в пачке 12 шт.),,01-00003155,36.000,1.000
04.01.2016,,Щука,,Напиток Coca-Cola Zero,,99-00001085,38.000,1.000
04.01.2016,,Щука,,Напиток Dr Pepper Cherry,,01-00003151,50.000,2.000
04.01.2016,,Щука,,Напиток Dr Pepper Diet,,99-00001084,45.000,1.000
04.01.2016,,Щука,,Напиток Доктор Пеппер (в пачке 12 шт.),,СК-00000830,60.000,1.000
04.01.2016,,Щука,,Наушники Большеглазый Зайка,,99-00000083,5.000,1.000
04.01.2016,,Щука,,Открытка С ДР кресло 50001,,01-00001713,10.000,1.000
04.01.2016,,Щука,,Пакет Все будет в шоколаде S,,01-00001197,22.000,1.000
04.01.2016,,Щука,,Пакет Настоящий мужик ML,,01-00000166,7.000,1.000
04.01.2016,,Щука,,Пакет Особенный подарок ML,,01-00000563,6.000,1.000
04.01.2016,,Щука,,Пакет особенный подарок MS ,,01-00000570,8.000,1.000
04.01.2016,,Щука,,Пакет Посылка счастья MS ,,СК-00001013,17.000,1.000
04.01.2016,,Щука,,Пакет С Днем Рождения гориз красный L,,01-00001192,16.000,1.000
04.01.2016,,Щука,,Пакет С днем рождения Пожелания S,,99-00001617,7.000,1.000
04.01.2016,,Щука,,Пакет С новым годом! Ёлка (синий) L,,99-00001621,2.000,1.000
04.01.2016,,Щука,,Пакет Телевизор MS (НГ),,99-00001632,27.000,1.000
04.01.2016,,Щука,,Песочные часы с магнитной стружкой,,01-00002927,2.000,1.000
04.01.2016,,Щука,,Печенье Клевер (с предсказанием),,99-00000714,15.000,2.000
04.01.2016,,Щука,,Пистолет офисный Волк,,01-00000247,1.000,1.000
